Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Damnation,PS3,2009,Codemasters,0.07,0.01,0.01
The Lord of the Rings Online: Mines of Moria,PC,2008,Codemasters Online,0,0.02,0
Dr. Seuss: How the Grinch Stole Christmas,DS,2007,CokeM Interactive,0.29,0,0.02
Donkey Kong,2600,1981,Coleco,1.36,0.08,0.02
Carnival,2600,1981,Coleco,0.32,0.02,0
Smurf: Rescue In Gargamel's Castle,2600,1981,Coleco,0.55,0.03,0.01
Mouse Trap,2600,1981,Coleco,0.38,0.02,0
Mr. Do!,2600,1982,Coleco,0.26,0.02,0
Arcana Famiglia: Vascello Phantasma no Majutsushi,PSP,2012,Comfort,0,0,0
Arcana Famiglia 2,PSP,2013,Comfort,0,0,0
Arcana Famiglia: La storia della Aracana Famiglia,PSP,2011,Comfort,0,0,0
ef - a fairy tale of the two.,PS2,2010,Comfort,0,0,0
Mashiro Iro Symphony: *mutsu-no-hana,PSP,2011,Comfort,0,0,0
Princess Saver! Eternal Love for My Lady,PS2,2010,Comfort,0,0,0
Juggler DS,DS,2008,Commseed,0,0,0
Puyo Puyo Sun,SAT,1997,Compile,0,0,0
Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjyouki,SNES,1996,Compile,0,0,0
Madou Monogatari,SAT,1998,Compile,0,0,0
Super Puyo Puyo 2,SNES,1995,Compile,0,0,0
Puyo Puyo Sun Ketteiban,PS,1997,Compile,0,0,0.07
Puyo Puyo Sun 64,N64,1997,Compile,0,0,0.03
Chou Jigen Game Neptune Mk-II,PS3,2011,Compile Heart,0,0,0
Date A Live: Rine Utopia,PS3,2013,Compile Heart,0,0,0
Genkai Totsuki Moero Chronicle,PSV,2014,Compile Heart,0,0,0
Cross Edge Dash,X360,2009,Compile Heart,0,0,0
Hyperdimension Neptunia,PSV,2013,Compile Heart,0.05,0,0.01
Kangokutou Mary Skelter,PSV,2016,Compile Heart,0,0,0
Hyperdimension Neptunia Victory,PS3,2012,Compile Heart,0.05,0.03,0.02
Touch Shot! Love Application,PS3,2012,Compile Heart,0,0,0
Genkai Tokki: Seven Pirates,PSV,2016,Compile Heart,0,0,0
Record of Agarest War 2,PS3,2010,Compile Heart,0.09,0,0.01
Omega Quintet,PS4,2014,Compile Heart,0,0,0
Record of Agarest War,X360,2008,Compile Heart,0.18,0,0.01
Record of Agarest War: Marriage,PSP,2012,Compile Heart,0,0,0
Date A Live: Arusu Install,PS3,2014,Compile Heart,0,0,0
Genkai Tokki: Moero Crystal,PSV,2015,Compile Heart,0,0,0
Hyperdimension Neptunia mk2,PSV,2014,Compile Heart,0,0,0
So-Ra-No-Wo-To: Otome no Gojuusou,PSP,2010,Compile Heart,0,0,0
Record of Agarest War Zero,X360,2010,Compile Heart,0.09,0,0.01
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PSV,2015,Compile Heart,0,0,0
Date-A-Live Twin Edition: Rio Reincarnation,PSV,2015,Compile Heart,0,0,0
Hyperdimension Neptunia Victory,PSV,2014,Compile Heart,0,0,0
Rock of the Dead,X360,2010,Conspiracy Entertainment,0.04,0,0
Flipper Critters,DS,2007,Conspiracy Entertainment,0.03,0,0
th!nk Logic Trainer,Wii,2009,Conspiracy Entertainment,0.01,0,0
Cocoto Kart Racer,Wii,2008,Conspiracy Entertainment,0.06,0,0
Pocket Pool,PSP,2007,Conspiracy Entertainment,0.04,0,0
Tiny Toon Adventures: Wacky Stackers,GBA,2001,Conspiracy Entertainment,0.01,0,0
Best Of Tests,DS,2008,Conspiracy Entertainment,0.01,0,0
Winter Sports 2: The Next Challenge,PS2,2008,Conspiracy Entertainment,0.04,0.03,0.01
thinkSMART,DS,2010,Conspiracy Entertainment,0.09,0,0.01
Tiny Toon Adventures: Plucky's Big Adventure,PS,2001,Conspiracy Entertainment,0.15,0.1,0.02
Crazy Chicken Tales,Wii,2009,Conspiracy Entertainment,0.06,0,0
An American Tail: Fievel's Gold Rush,GBA,2002,Conspiracy Entertainment,0.02,0.01,0
thinkSMART FAMILY!,Wii,2010,Conspiracy Entertainment,0.03,0,0
Rock of the Dead,PS3,2010,Conspiracy Entertainment,0.04,0,0.01
Shellshock,PS,1995,Core Design Ltd.,0.06,0.04,0.01
ThunderStrike 2,PS,1994,Core Design Ltd.,0.1,0.07,0.01
Man vs. Wild,X360,2011,Crave Entertainment,0.09,0,0.01
Puzzle Challenge: Crosswords and More!,PS2,2006,Crave Entertainment,0.01,0.01,0
Big Idea's VeggieTales: LarryBoy and the Bad Apple,PS2,2006,Crave Entertainment,0.01,0.01,0
Shadow Madness,PS,1999,Crave Entertainment,0.1,0.07,0.01
PBR: Out of the Chute,Wii,2008,Crave Entertainment,0.11,0,0.01
Art of Fighting Anthology,PS2,2006,Crave Entertainment,0.02,0.02,0.01
World Championship Cards,PSP,2008,Crave Entertainment,0.19,0,0.02
PBR: Out of the Chute,PS2,2008,Crave Entertainment,0.1,0.08,0.03
Gex 3: Deep Cover Gecko,N64,1999,Crave Entertainment,0.17,0.04,0
UFC: Tapout,XB,2002,Crave Entertainment,0.14,0.05,0.01
Cartoon Network: Punch Time Explosion XL,PS3,2011,Crave Entertainment,0.06,0,0.01
Napoleon Dynamite: The Game,PSP,2007,Crave Entertainment,0.03,0,0
Trigger Man,GC,2004,Crave Entertainment,0.01,0,0
Virtual Pool 64,N64,1998,Crave Entertainment,0.08,0.02,0
Napoleon Dynamite: The Game,DS,2007,Crave Entertainment,0.02,0,0
The Bible Game,PS2,2005,Crave Entertainment,0.1,0.08,0.03
Puzzle Challenge: Crosswords and More!,Wii,2009,Crave Entertainment,0.03,0,0
Santa Claus Is Comin' to Town!,DS,2011,Crave Entertainment,0.06,0,0
World Championship Poker,XB,2004,Crave Entertainment,0.37,0.11,0.02
Santa Claus Is Comin' to Town!,Wii,2011,Crave Entertainment,0.06,0,0
Man vs. Wild,Wii,2011,Crave Entertainment,0.07,0,0
Sing4: The Hits Edition,Wii,2011,Crave Entertainment,0.17,0,0.01
Crayola: Colorful Journey,Wii,2009,Crave Entertainment,0.07,0,0
Killer Loop,PS,1999,Crave Entertainment,0.03,0.02,0
Jade Cocoon: Story of the Tamamayu,PS,1998,Crave Entertainment,0.15,0.1,0.02
Cartoon Network: Punch Time Explosion XL,Wii,2011,Crave Entertainment,0.07,0.01,0.01
The Bible Game,GBA,2005,Crave Entertainment,0.09,0.03,0
The Oregon Trail,Wii,2011,Crave Entertainment,0.14,0,0.01
Deadliest Catch: Sea of Chaos,X360,2010,Crave Entertainment,0.08,0,0.01
Elf: The Movie,GBA,2004,Crave Entertainment,0.1,0.04,0
Mechanic Master 2,DS,2010,Crave Entertainment,0.02,0,0
World Championship Poker,GBA,2004,Crave Entertainment,0.12,0.05,0
Pinball Hall of Fame: The Gottlieb Collection,XB,2004,Crave Entertainment,0.06,0.02,0
Future Tactics: The Uprising,PS2,2004,Crave Entertainment,0.03,0.03,0.01
Intellivision Lives!,GC,2004,Crave Entertainment,0.05,0.01,0
America's Next Top Model,Wii,2010,Crave Entertainment,0.07,0,0
Deadliest Catch: Sea of Chaos,PS3,2010,Crave Entertainment,0.08,0,0.01
Cartoon Network: Punch Time Explosion XL,X360,2011,Crave Entertainment,0.07,0,0.01
Gem Smashers,Wii,2011,Crave Entertainment,0.04,0,0
Intellivision Lives!,XB,2004,Crave Entertainment,0.03,0.01,0
Deadliest Catch: Sea of Chaos,Wii,2010,Crave Entertainment,0.11,0,0.01
Trigger Man,XB,2004,Crave Entertainment,0.03,0.01,0
Strike Force Bowling,XB,2004,Crave Entertainment,0.03,0.01,0
Rudolph the Red-Nosed Reindeer,DS,2010,Crave Entertainment,0.15,0,0.01
Rudolph the Red-Nosed Reindeer,Wii,2010,Crave Entertainment,0.15,0,0.01
Battlezone: Rise of the Black Dogs,N64,2000,Crave Entertainment,0.06,0.01,0
Sudokuro,DS,2007,Crave Entertainment,0.1,0,0.01
Pinball Hall of Fame: The Gottlieb Collection,GC,2005,Crave Entertainment,0.04,0.01,0
The Bible Game,XB,2005,Crave Entertainment,0.03,0.01,0
Fighting Force 64,N64,1999,Crave Entertainment,0.09,0.02,0
MX World Tour Featuring Jamie Little,XB,2005,Crave Entertainment,0.03,0.01,0
Sky Dancers,GBA,2005,Crave Entertainment,0.02,0.01,0
The Oregon Trail,3DS,2011,Crave Entertainment,0.12,0,0.01
Vagrant Story,PS,2000,Crave Entertainment,0.3,0.2,0.06
Spelling Challenges and more!,PSP,2007,Crave Entertainment,0.24,0,0.02
Pinball Hall of Fame: The Williams Collection,X360,2009,Crave Entertainment,0.11,0,0.01
Galerians,PS,1999,Crave Entertainment,0.08,0.06,0.01
Asteroids Hyper 64,N64,1999,Crave Entertainment,0.13,0.03,0
Brunswick Pro Bowling,3DS,2011,Crave Entertainment,0.11,0,0.01
Big Idea's VeggieTales: LarryBoy and the Bad Apple,GBA,2006,Crave Entertainment,0.01,0,0
Pinball Hall of Fame: The Williams Collection,3DS,2011,Crave Entertainment,0.09,0,0.01
Puzzle Challenge: Crosswords and More!,PSP,2006,Crave Entertainment,0.18,0,0.01
Whirl Tour,PS2,2002,Crave Entertainment,0.11,0.09,0.03
Gem Smashers,3DS,2011,Crave Entertainment,0.04,0,0
Solitaire & Mahjong,Wii,2009,Crave Entertainment,0.11,0,0.01
World Championship Poker 2: Featuring Howard Lederer,XB,2005,Crave Entertainment,0.07,0.02,0
Pinball Hall of Fame: The Williams Collection,PS3,2009,Crave Entertainment,0.2,0,0.02
Archer Maclean's 3D Pool,GBA,2003,Crave Entertainment,0.05,0.02,0
Strike Force Bowling,GC,2005,Crave Entertainment,0.05,0.01,0
Tokyo Xtreme Racer Advance,GBA,2005,Crave Entertainment,0.04,0.02,0
Tokyo Xtreme Racer Zero,PS2,2000,Crave Entertainment,0.66,0.52,0.17
Mame Goma 2: Uchi no Ko ga Ichiban!,DS,2008,Creative Core,0,0,0
Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,DS,2009,Creative Core,0,0,0
Nakayoshi All-Stars: Mezase Gakuen Idol,DS,2008,Creative Core,0,0,0
The Book of Unwritten Tales: The Critter Chronicles,PC,2011,Crimson Cow,0,0.05,0.01
A Vampyre Story,PC,2008,Crimson Cow,0,0.01,0
Slam 'n Jam '96 featuring Magic & Kareem,PS,1995,Crystal Dynamics,0.04,0.03,0.01
Blazing Dragons,PS,1996,Crystal Dynamics,0.08,0.06,0.01
Blood Omen: Legacy of Kain,PS,1996,Crystal Dynamics,0.25,0.17,0.03
Gex,PS,1995,Crystal Dynamics,0.49,0.33,0.06
Off-World Interceptor Extreme,PS,1995,Crystal Dynamics,0.09,0.06,0.01
Robinson: The Journey,PS4,2016,Crytek,0.06,0.03,0.02
Uchi no 3 Shimai DS,DS,2008,Culture Brain,0,0,0
Ginga Tetsudou 999 DS,DS,2010,Culture Brain,0,0,0
Super Baseball Simulator 1.000,SNES,1991,Culture Brain,0,0,0
First Queen: Ornic Senki,SNES,1994,Culture Brain,0,0,0
Hello Kitty's Cube Frenzy,PS,1998,Culture Publishers,0.05,0.03,0.01
Akatsuki no Amaneka to Aoi Kyojin,PSP,2010,CyberFront,0,0,0
Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable,PSP,2009,CyberFront,0,0,0
Strike Witches: Shirogane no Tsubasa,X360,2010,CyberFront,0,0,0
Cross + Channel,PSP,2010,CyberFront,0,0,0
Labyrinth Cross Blood: Infinity,PSV,2013,CyberFront,0,0,0
Seinaru Kana: Orichalcum no Na no Motoni,PSP,2012,CyberFront,0,0,0
Kazoku Keikaku,PSP,2010,CyberFront,0,0,0
Kana: Imouto,PSP,2010,CyberFront,0,0,0
DJ Max Portable 3,PSP,2010,CyberFront,0.01,0,0
12Riven: The Psi-Climinal of Integral,PS2,2008,CyberFront,0,0,0
Cross Channel: In Memory of All People,X360,2011,CyberFront,0,0,0
DJ Max Technika Tune,PSV,2012,CyberFront,0,0,0
Shinseiki Evangelion: Koutetsu no Girlfriend Tokubetsu-Hen Portable,PSP,2009,CyberFront,0,0,0
Memories Off #5: Encore,PS2,2007,CyberFront,0,0,0
Airship Q,PSV,2015,Cygames,0,0,0
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,PS2,2007,D3Publisher,0,0,0
Ben 10: Protector of Earth,DS,2007,D3Publisher,0.68,0.82,0.19
Ben 10: Protector of Earth,PSP,2007,D3Publisher,0.23,0.3,0.18
Naruto: Path of the Ninja,DS,2007,D3Publisher,0.37,0,0.03
Cube,PSP,2007,D3Publisher,0.02,0,0
Puzzle Quest: Challenge of the Warlords,Wii,2007,D3Publisher,0.26,0,0.02
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,D3Publisher,0,0,0
Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PS2,2006,D3Publisher,0,0,0
Dark Sector,X360,2008,D3Publisher,0.22,0.2,0.05
Last Escort,PS2,2006,D3Publisher,0,0,0
Dark Sector,PS3,2008,D3Publisher,0.23,0.16,0.07
Earth Defense Force 2017 (old JP sales),X360,2006,D3Publisher,0,0,0
Hi Hi Puffy AmiYumi: The Genie & the Amp,DS,2006,D3Publisher,0.01,0,0
Vitamin X,PS2,2007,D3Publisher,0,0,0
Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono,PS2,2007,D3Publisher,0,0,0
Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,DS,2007,D3Publisher,0,0,0
Puzzle Quest: Challenge of the Warlords,PS2,2007,D3Publisher,0.06,0.05,0.02
Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007,D3Publisher,0.01,0,0
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 9: CR Fever Captain Harlock,PS2,2007,D3Publisher,0,0,0
Bakumatsu Renka: Karyuu Kenshi-den,PS2,2007,D3Publisher,0,0,0
Puzzle Quest: Challenge of the Warlords,PSP,2007,D3Publisher,0.01,0,0
Dragon Blade: Wrath of Fire,Wii,2007,D3Publisher,0.17,0,0.01
Puzzle Quest: Challenge of the Warlords,DS,2007,D3Publisher,0.28,0,0.02
Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,DS,2007,D3Publisher,0,0,0
Dead Head Fred,PSP,2007,D3Publisher,0.04,0,0
Ben 10: Protector of Earth,Wii,2007,D3Publisher,0.54,0.55,0.13
Omega Labyrinth,PSV,2015,D3Publisher,0,0,0
Ben 10: Protector of Earth,PS2,2007,D3Publisher,0.09,0,0.74
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,DS,2010,D3Publisher,0,0,0
Jillian Michaels Fitness Ultimatum 2011,Wii,2010,D3Publisher,0.16,0,0.01
Despicable Me: The Game,PSP,2010,D3Publisher,0.05,0.08,0.03
Family Party: Fitness Fun,Wii,2010,D3Publisher,0.14,0,0.01
Yogi Bear: The Video Game,DS,2010,D3Publisher,0.1,0.03,0.01
Puzzle Quest 2,DS,2010,D3Publisher,0.1,0,0.01
Yogi Bear: The Video Game,Wii,2010,D3Publisher,0.06,0.05,0.01
Bullet Girls,PSV,2014,D3Publisher,0,0,0
Despicable Me: The Game,PS2,2010,D3Publisher,0.05,0.04,0.01
Machi-Ing Maker 3 x Tousouchuu,PSP,2010,D3Publisher,0,0,0
Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,PSP,2010,D3Publisher,0,0,0
Dream C Club Portable,PSP,2010,D3Publisher,0,0,0
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,D3Publisher,0.1,0.06,0.02
Last Escort: Club Katze,PSP,2010,D3Publisher,0,0,0
StormLover,PSP,2010,D3Publisher,0,0,0
Vitamin Z Revolution,PSP,2010,D3Publisher,0,0,0
Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010,D3Publisher,0,0,0
Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,2010,D3Publisher,0,0,0
Vitamin X Evolution Plus,PSP,2010,D3Publisher,0,0,0
Misshitsu no Sacrifice,PSP,2010,D3Publisher,0,0,0
Last Escort: Club Katze,PS2,2010,D3Publisher,0,0,0
Ishin Renka: Ryouma Gaiden,PSP,2010,D3Publisher,0,0,0
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,D3Publisher,0.31,0.21,0.04
Ben 10 Triple Pack,DS,2011,D3Publisher,0.12,0.11,0.02
The Putter Golf,PS,2001,D3Publisher,0.04,0.03,0
Coraline,Wii,2009,D3Publisher,0.05,0,0
Kamen Rider: Dragon Knight,DS,2009,D3Publisher,0.05,0,0
Coraline,DS,2009,D3Publisher,0.04,0,0
Astro Boy: The Video Game,PSP,2009,D3Publisher,0.04,0,0
Dream C Club: GoGo ,PS3,2014,D3Publisher,0,0,0
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,DS,2009,D3Publisher,0,0,0
Vitamin Z,PS2,2009,D3Publisher,0,0,0
Bae Yong-joon to Manabu Kankokugo DS,DS,2009,D3Publisher,0,0,0
Tactics Layer: Ritina Guard Senki,DS,2009,D3Publisher,0,0,0
Uchida Yasuou Mystery: Meitantei Senken Mitsuhiko Series: Fukutoshin Renzoku Satsujin Jiken,DS,2009,D3Publisher,0,0,0
Bullet Girls 2,PSV,2016,D3Publisher,0,0,0
Earth Defense Force: Insect Armageddon,PS3,2011,D3Publisher,0.06,0.04,0.02
Despicable Me: The Game - Minion Mayhem,DS,2010,D3Publisher,0.37,0.05,0.03
Family Party: 90 Great Games Party Pack,Wii,2010,D3Publisher,0.31,0,0.02
Ben 10 Ultimate Alien: Cosmic Destruction,DS,2010,D3Publisher,0.22,0.08,0.03
Ben 10 Ultimate Alien: Cosmic Destruction,Wii,2010,D3Publisher,0.17,0.09,0.02
Despicable Me: The Game,Wii,2010,D3Publisher,0.16,0.08,0.02
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,D3Publisher,0.12,0.08,0.04
Ben 10 Ultimate Alien: Cosmic Destruction,PSP,2010,D3Publisher,0.1,0.09,0.05
Family Party: 30 Great Games Winter Fun,Wii,2010,D3Publisher,0.21,0,0.01
Ben 10 Ultimate Alien: Cosmic Destruction,PS2,2010,D3Publisher,0.13,0.06,0.04
Kidz Bop Dance Party! The Video Game,Wii,2010,D3Publisher,0.2,0,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,D3Publisher,0.02,0.01,0
Storm Lover Kai!!,PSP,2012,D3Publisher,0,0,0
Dream C Club,PS3,2012,D3Publisher,0,0,0
Vitamin X: Detective B6,PSP,2012,D3Publisher,0,0,0
Earth Defense Force 2025,PS3,2013,D3Publisher,0.04,0.02,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,D3Publisher,0.1,0.03,0.01
Earth Defense Force 2025,X360,2013,D3Publisher,0.06,0.03,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,D3Publisher,0.03,0.04,0.01
The Croods: Prehistoric Party!,Wii,2013,D3Publisher,0.01,0.05,0
The Croods: Prehistoric Party!,DS,2013,D3Publisher,0.03,0.04,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,D3Publisher,0.02,0.01,0.01
The Croods: Prehistoric Party!,3DS,2013,D3Publisher,0.01,0.02,0
Custom Drive,PSP,2012,D3Publisher,0,0,0
Onechanbara Z Kagura,PS3,2013,D3Publisher,0,0,0
Turbo: Super Stunt Squad,DS,2013,D3Publisher,0,0.03,0
The Croods: Prehistoric Party!,WiiU,2013,D3Publisher,0.01,0.01,0
Turbo: Super Stunt Squad,WiiU,2013,D3Publisher,0,0.02,0
Vitamin R,PSP,2013,D3Publisher,0,0,0
Turbo: Super Stunt Squad,PS3,2013,D3Publisher,0,0.01,0
Storm Lover 2nd,PSP,2013,D3Publisher,0,0,0
Tiger & Bunny: Hero's Day,PSP,2013,D3Publisher,0,0,0
Turbo: Super Stunt Squad,Wii,2013,D3Publisher,0,0.01,0
Turbo: Super Stunt Squad,3DS,2013,D3Publisher,0,0.01,0
Turbo: Super Stunt Squad,X360,2013,D3Publisher,0,0.01,0
Angler's Club: Ultimate Bass Fishing 3D,3DS,2011,D3Publisher,0,0.03,0
Earth Defense Force: Insect Armageddon,X360,2011,D3Publisher,0.1,0.04,0.01
Victorious: Hollywood Arts Debut,DS,2011,D3Publisher,0.13,0.01,0.01
Ben 10 Galactic Racing,3DS,2011,D3Publisher,0.07,0.07,0.01
Earth Defense Force 2: Invaders from Planet Space,PSP,2011,D3Publisher,0,0,0
Ben 10 Galactic Racing,DS,2011,D3Publisher,0.09,0.03,0.01
Victorious: Time to Shine,X360,2011,D3Publisher,0.12,0,0.01
Ben 10 Galactic Racing,Wii,2011,D3Publisher,0.08,0.03,0.01
Ben 10 Galactic Racing,X360,2011,D3Publisher,0.07,0.02,0.01
Ben 10 Galactic Racing,PS3,2011,D3Publisher,0.06,0.02,0.01
Vitamin X to Z,PSP,2011,D3Publisher,0,0,0
Dream C Club Zero,X360,2011,D3Publisher,0,0,0
Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,DS,2006,D3Publisher,0,0,0
Dream Club Zero Portable,PSV,2011,D3Publisher,0,0,0
Onechanbara Special,PSP,2011,D3Publisher,0,0,0
StormLover Karen!!,PSP,2011,D3Publisher,0,0,0
Machi-ing Maker 4,PS3,2011,D3Publisher,0,0,0
Card Games,PS,2000,D3Publisher,0.04,0.03,0
Earth Defense Force 2017 Portable,PSV,2012,D3Publisher,0,0,0
Mechanic Escape,PS3,2012,D3Publisher,0,0,0
Ben 10 Galactic Racing,PSV,2012,D3Publisher,0.02,0.01,0.01
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,2012,D3Publisher,0,0,0
Onechanbara Z Kagura,X360,2012,D3Publisher,0,0,0
Eat Lead: The Return of Matt Hazard,PS3,2009,D3Publisher,0.09,0.02,0.01
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki,PS2,2008,D3Publisher,0,0,0
Shaun the Sheep,DS,2008,D3Publisher,0.04,0,0
PQ: Practical Intelligence Quotient,PSP,2005,D3Publisher,0.07,0,0.01
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,PS2,2006,D3Publisher,0,0,0
Family Party: 30 Great Games Outdoor Fun,Wii,2009,D3Publisher,0.14,0.01,0.01
Flushed Away,GC,2006,D3Publisher,0.12,0.03,0
The Secret Saturdays: Beasts of the 5th Sun,PS2,2009,D3Publisher,0.05,0.02,0.08
Naruto Shippuden: Ninja Destiny 3,DS,2006,D3Publisher,0,0.01,0
Ben 10 Alien Force: Vilgax Attacks,X360,2009,D3Publisher,0.11,0.09,0.02
Eat Lead: The Return of Matt Hazard,X360,2009,D3Publisher,0.1,0.01,0.01
Coraline,PS2,2009,D3Publisher,0.06,0.04,0.01
Astro Boy: The Video Game,PS2,2009,D3Publisher,0.05,0.04,0.01
Bangai-O Spirits,DS,2008,D3Publisher,0.07,0,0.01
Onechanbara: Bikini Samurai Squad,X360,2006,D3Publisher,0.11,0.01,0.01
Astro Boy: The Video Game,Wii,2009,D3Publisher,0.1,0,0.01
Astro Boy: The Video Game,DS,2009,D3Publisher,0.09,0,0.01
Puzzle Quest: Galactrix,DS,2009,D3Publisher,0.14,0,0.01
Vitamin X Evolution,DS,2008,D3Publisher,0,0,0
Hi Hi Puffy AmiYumi: Kaznapped,GBA,2005,D3Publisher,0.04,0.02,0
Ben 10 Alien Force: Vilgax Attacks,PS2,2009,D3Publisher,0.11,0.03,0.15
Ben 10 Alien Force: Vilgax Attacks,PSP,2009,D3Publisher,0.13,0.19,0.11
Ben 10 Alien Force: Vilgax Attacks,DS,2009,D3Publisher,0.22,0.16,0.04
Ben 10 Alien Force: Vilgax Attacks,Wii,2009,D3Publisher,0.25,0.14,0.04
Hoshizora no Comic Garden,DS,2008,D3Publisher,0,0,0
Vitamin Y,DS,2008,D3Publisher,0,0,0
Galileo,DS,2008,D3Publisher,0,0,0
Simple DS Series Vol. 41: The Bakudan Shori-Han,DS,2008,D3Publisher,0,0,0
Last Escort 2: Shinya no Amai Toge,PS2,2008,D3Publisher,0,0,0
Bakumatsu Koihana: Shinsengumi DS,DS,2008,D3Publisher,0,0,0
Naruto: Ninja Council 3,DS,2006,D3Publisher,0.39,0,0.03
Simple DS Series Vol. 42: The Haioku Byoutou,DS,2008,D3Publisher,0,0,0
Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki,DS,2008,D3Publisher,0,0,0
The Secret Saturdays: Beasts of the 5th Sun,PSP,2009,D3Publisher,0.08,0,0.01
Storm Lover 2nd V,PSV,2016,D3Publisher,0,0,0
PQ2: Practical Intelligence Quotient,PSP,2006,D3Publisher,0.04,0,0
Hyakka Hyakurou: Sengoku Ninpoujou,PSV,2016,D3Publisher,0,0,0
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009,D3Publisher,0,0,0
Kamen Rider: Dragon Knight,Wii,2009,D3Publisher,0.06,0,0
Otoko Yukaku,PSV,2015,D3Publisher,0,0,0
Earth Defense Force 2017,X360,2006,D3Publisher,0.04,0,0
The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008,D3Publisher,0.13,0,0.01
Dream C Club,X360,2009,D3Publisher,0,0,0
Vampire Knight DS,DS,2009,D3Publisher,0,0,0
Natsuiro High School: Seishun Hakusho,PS4,2015,D3Publisher,0,0,0
Top Spin 3,DS,2008,D3Publisher,0.11,0.02,0.01
Natsuiro High School: Seishun Hakusho,PS3,2015,D3Publisher,0,0,0
The Secret Saturdays: Beasts of the 5th Sun,Wii,2009,D3Publisher,0.09,0,0.01
Break 'Em All,DS,2005,D3Publisher,0.11,0,0.01
The Secret Saturdays: Beasts of the 5th Sun,DS,2009,D3Publisher,0.08,0,0.01
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,2005,D3Publisher,0,0,0
Family Party: 30 Great Games,Wii,2008,D3Publisher,0.08,0.01,0.01
Simple 1500 Series Vol. 1: The Mahjong,PS,1998,D3Publisher,0,0,0.07
Onechanbara: Bikini Zombie Slayers,Wii,2008,D3Publisher,0.11,0,0.01
Flushed Away,DS,2006,D3Publisher,0.09,0,0.01
Metal Slug XX,PSP,2009,DHM Interactive,0.03,0,0
Puzzle Guzzle,PSP,2007,DHM Interactive,0.02,0,0
Lovely Lisa,DS,2007,DHM Interactive,0.11,0,0.01
Lionel Trains: On Track,DS,2006,DSI Games,0.04,0,0
Frisbee Disc Freestyle / Frisbee Disc Golf,DS,2007,DSI Games,0.02,0,0
1 vs. 100,DS,2008,DSI Games,0.08,0,0.01
B-17: Fortress in the Sky,DS,2007,DSI Games,0.02,0,0
Mousetrap / Operation / Simon,GBA,2005,DSI Games,0.12,0.04,0
Crazy Machines,DS,2008,DTP Entertainment,0,0.03,0
Stronghold Kingdoms,PC,2011,DTP Entertainment,0,0.1,0.01
Summer Athletics: The Ultimate Challenge (US sales),Wii,2008,DTP Entertainment,0.23,0.03,0
Summer Athletics: The Ultimate Challenge (Others sales),Wii,2008,DTP Entertainment,0,0.2,0.01
Gray Matter,PC,2011,DTP Entertainment,0.02,0.05,0.01
