Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Sniper Elite V2,WiiU,2013,505 Games,0,0.02,0
IL-2 Sturmovik: Birds of Prey,DS,2009,505 Games,0.06,0,0
Payday 2,PC,2013,505 Games,0.04,0,0.01
Championship Foosball,Wii,2008,505 Games,0.09,0,0.01
Battle Fantasia,X360,2008,505 Games,0.07,0,0.01
Smart Boy's Toys Club,DS,2008,505 Games,0.06,0,0
Princess on Ice,DS,2008,505 Games,0.04,0.01,0
HOP,DS,2011,505 Games,0.08,0.01,0.01
Blackwater,X360,2011,505 Games,0.09,0.02,0.01
Supremacy MMA,PS3,2011,505 Games,0.07,0.03,0.02
Naval Assault: The Killing Tide,X360,2010,505 Games,0.08,0.07,0.02
Michael Phelps: Push the Limit,X360,2011,505 Games,0.09,0.01,0.01
Naruto Shippuden 3D: The New Era,3DS,2011,505 Games,0,0.04,0.01
Alvin and the Chipmunks: Chipwrecked,DS,2011,505 Games,0.06,0.03,0.01
Learning to Spell,DS,2010,505 Games,0.16,0,0.01
Alvin and the Chipmunks: Chipwrecked,X360,2011,505 Games,0.09,0.01,0.01
Greg Hastings Paintball 2,Wii,2010,505 Games,0.11,0,0.01
Brunswick Pro Bowling,PS3,2010,505 Games,0.1,0.05,0.02
Farmtopia,DS,2010,505 Games,0.18,0,0.01
Alvin and the Chipmunks: Chipwrecked,Wii,2011,505 Games,0.07,0.01,0.01
Naughty Bear,X360,2010,505 Games,0.21,0.15,0.04
Supremacy MMA,X360,2011,505 Games,0.05,0.02,0.01
Naughty Bear,PS3,2010,505 Games,0.18,0.18,0.07
Brunswick Pro Bowling,X360,2010,505 Games,0.38,0.04,0.03
My Pet Chimp,DS,2010,505 Games,0.06,0,0
Cooking Mama 4: Kitchen Magic!,3DS,2011,505 Games,0.5,0.07,0.05
Rugby World Cup 2011,PS3,2011,505 Games,0,0.24,0.07
Rugby World Cup 2011,X360,2011,505 Games,0.03,0.21,0.04
Mind over Matter,DS,2010,505 Games,0.02,0,0
World Championship Spelling,DS,2010,505 Games,0.04,0,0
Jillian Michaels' Fitness Adventure,X360,2011,505 Games,0.17,0.02,0.01
MorphX,X360,2010,505 Games,0.05,0,0
Camping Mama: Outdoor Adventures,DS,2011,505 Games,0.12,0.05,0.02
Babysitting Mama,Wii,2010,505 Games,0.33,0.12,0.04
Grease Dance,X360,2011,505 Games,0.11,0.03,0.01
Hulk Hogan's Main Event,X360,2011,505 Games,0.1,0.02,0.01
Field & Stream: Total Outdoorsman Challenge,X360,2010,505 Games,0.09,0,0.01
My First Dollhouse,DS,2010,505 Games,0.1,0,0.01
Cats & Dogs: The Revenge of Kitty Galore,DS,2010,505 Games,0.1,0,0.01
Twister Mania,X360,2011,505 Games,0.1,0.01,0.01
Grease,DS,2010,505 Games,0.1,0,0.01
Salon Superstar,DS,2009,505 Games,0.07,0,0
Sniper Elite V2,PS3,2012,505 Games,0.38,0.38,0.14
Sniper Elite V2,X360,2012,505 Games,0.46,0.28,0.07
Diva Girls: Divas on Ice,DS,2009,505 Games,0.05,0,0
Supreme Commander,X360,2008,505 Games,0.07,0.01,0.01
Shin Chan Contra ¡Los Plastas!,DS,2009,505 Games,0,0,0
Discovery Kids: Parrot Pals,DS,2009,505 Games,0.07,0,0.01
Picture Perfect Hair Salon,DS,2009,505 Games,0.07,0,0.01
World Party Games,Wii,2009,505 Games,0.07,0,0.01
Hotel for Dogs,Wii,2009,505 Games,0.04,0,0
Discovery Kids: Spider Quest,DS,2009,505 Games,0.07,0,0.01
Diva Girls: Divas on Ice,Wii,2009,505 Games,0.07,0,0.01
Rolling Stone: Drum King,Wii,2009,505 Games,0.09,0,0.01
The Destiny of Zorro,Wii,2009,505 Games,0.09,0,0.01
Zumba Fitness Rush,X360,2012,505 Games,0,0.16,0.02
ArmA II,PC,2009,505 Games,0,0.12,0.02
Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,505 Games,0.11,0.01,0.01
Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002,505 Games,0.02,0.02,0.01
Grease Dance,PS3,2011,505 Games,0.05,0.02,0.01
Grease,Wii,2010,505 Games,0.26,0.24,0.05
Top Gun,PS3,2011,505 Games,0.06,0,0.01
Zumba Fitness,PS3,2010,505 Games,0.28,0.21,0.08
Motion Explosion!,X360,2011,505 Games,0.05,0.01,0
Johnny Test,DS,2011,505 Games,0.06,0,0
Crafting Mama,DS,2010,505 Games,0.39,0.19,0.05
Zumba Fitness,X360,2010,505 Games,1.74,0.45,0.18
IL-2 Sturmovik: Birds of Prey,PSP,2009,505 Games,0.08,0.07,0.04
Zumba Fitness,Wii,2010,505 Games,3.45,2.59,0.66
My Ballet Studio,DS,2009,505 Games,0.01,0,0
Discovery Kids: Snake Safari,DS,2009,505 Games,0.02,0,0
My Ballet Studio,Wii,2009,505 Games,0.02,0,0
Men of War,PC,2009,505 Games,0.01,0.02,0
Fashion Week Jr. Designer,DS,2009,505 Games,0.04,0,0
Emergency Room: Real Life Rescues,DS,2009,505 Games,0.04,0,0
Raw Danger! (JP sales),PS2,2006,505 Games,0,0,0
Cooking Mama,DS,2006,505 Games,3.07,1.91,0.57
Wild ARMs 5,PS2,2006,505 Games,0.14,0.11,0.04
Armored Core 4,PS3,2006,505 Games,0.09,0,0.01
World Championship Poker: Howard Lederer - All In,PSP,2006,505 Games,0.13,0,0.01
Master Jin Jin's IQ Challenge,DS,2006,505 Games,0.13,0,0.01
Bust-A-Move Deluxe,PSP,2006,505 Games,0.13,0,0.01
Wild ARMs 5 (jp sales),PS2,2006,505 Games,0,0,0
Ar tonelico: Melody of Elemia,PS2,2006,505 Games,0,0,0
Touch Detective,DS,2006,505 Games,0.06,0.02,0.01
Riviera: The Promised Land,PSP,2006,505 Games,0.07,0,0.01
Brothers: A Tale of Two Sons,XOne,2015,505 Games,0.03,0.01,0
Chameleon,PSP,2006,505 Games,0.08,0,0.01
Deep Labyrinth,DS,2006,505 Games,0.06,0,0
Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,2006,505 Games,0,0,0
The Professor's Brain Trainer: Logic,DS,2005,505 Games,0.02,0,0
Top Gun,DS,2006,505 Games,0.04,0,0
Raw Danger!,PS2,2006,505 Games,0.02,0.01,0
Turn It Around,DS,2006,505 Games,0.03,0,0
Rule of Rose,PS2,2006,505 Games,0.01,0.01,0
World Championship Poker featuring Howard Lederer: All In,Wii,2006,505 Games,0.02,0,0
Brothers: A Tale of Two Sons,PS4,2015,505 Games,0.03,0.08,0.02
Touch Detective (JP sales),DS,2006,505 Games,0,0,0
Payday 2,XOne,2015,505 Games,0.09,0.07,0.02
Chameleon: To Dye For!,DS,2006,505 Games,0.01,0,0
Monster Bomber,DS,2006,505 Games,0.01,0,0
Cooking Mama 2: Dinner With Friends,DS,2007,505 Games,1.6,1.49,0.39
Payday 2,PS4,2015,505 Games,0.1,0.14,0.05
Cooking Mama: Cook Off,Wii,2007,505 Games,1.41,1.12,0.3
World Championship Poker 2: Featuring Howard Lederer,PSP,2005,505 Games,0.12,0,0.01
Graffiti Kingdom,PS2,2004,505 Games,0.01,0.01,0
Ultimate Block Party,PSP,2004,505 Games,0.03,0,0
Armored Core: Formula Front Extreme Battle,PSP,2004,505 Games,0.05,0,0
Ultra Bust-A-Move,XB,2004,505 Games,0.04,0.01,0
Armored Core: Nine Breaker,PS2,2004,505 Games,0.03,0.03,0.01
Assetto Corsa,XOne,2016,505 Games,0,0.01,0
Stella Deus: The Gate of Eternity,PS2,2004,505 Games,0.04,0.03,0.01
Samurai Western,PS2,2004,505 Games,0.04,0.03,0.01
Guilty Gear Isuka,PS2,2004,505 Games,0.05,0.04,0.01
Armored Core: Last Raven,PS2,2005,505 Games,0.05,0.04,0.01
Terraria,WiiU,2016,505 Games,0,0.03,0
Brain Boost: Gamma Wave,DS,2005,505 Games,0.14,0,0.01
Brain Boost: Beta Wave,DS,2005,505 Games,0.14,0,0.01
Wild ARMs 4,PS2,2005,505 Games,0.07,0.06,0.02
Bust-A-Move Bash!,Wii,2007,505 Games,0.13,0.01,0.01
Bust-A-Move DS,DS,2005,505 Games,0.08,0.02,0.01
Rocket League,PC,2016,505 Games,0.01,0.04,0
Assetto Corsa,PS4,2016,505 Games,0,0.05,0.01
